656, 0.0
452, 12.016
443, 30.445
443, 41.821
443, 47.602
436, 54.41
436, 69.811
436, 74.45
436, 78.693
436, 87.054
436, 91.519
436, 101.015
436, 107.087
436, 111.492
436, 117.966
436, 123.083
436, 130.847
436, 138.484
436, 144.641
436, 153.557
436, 158.021
436, 170.095
436, 177.856
436, 190.076
436, 197.132
436, 202.391
436, 212.567
436, 220.763
436, 229.51
436, 233.988
436, 243.726
436, 252.816
436, 258.808
436, 267.267
436, 274.027
436, 278.481
436, 284.093
436, 292.114
436, 304.879
436, 309.616
436, 319.115
436, 324.907
436, 332.441
436, 340.212
436, 345.296
436, 353.747
436, 362.19
436, 376.42
436, 382.451
436, 396.445
436, 403.904
436, 411.204
436, 415.061
436, 427.771
436, 433.284
436, 447.61
436, 451.998
436, 464.191
436, 474.975
436, 484.889
436, 492.633
436, 497.703
436, 504.566
436, 509.067
436, 518.509
436, 523.448
436, 540.438
436, 547.736
436, 561.673
436, 566.367
436, 574.628
